id,codice,descrizione,prezzo
,61212051,TUTORE PER COSCIA-GAMBA-PIEDE,577.85
,61212054,TUTORE PER COSCIA-GAMBA-PIEDE,371.04
,61215003,DOCCIA BACINO-COSCIA (PELVIFEMORALE),371.31
,61215009,DIVARICATORE (PREDISPOSTO),53.6
,61215012,DIVARICATORE (PREDISPOSTO),32.31
,61215015,DIVARICATORE (PREDISPOSTO),64
,61215018,DIVARICATORE (PREDISPOSTO),94.63
,61215021,DIVARICATORE (PREDISPOSTO),42.55
,61215033,TUTORE PER BACINO-COSCIA RIGIDO,448.15
,61215036,TUTORE PER BACINO-COSCIA RIGIDO,509.74
,61215039,TUTORE PER BACINO-COSCIA RIGIDO,339.73
,61218003,DOCCIA BA-CO-GA-PIE. PELVIPODALICA,411.95
,61218103,AGG. ARTICOLAZIONE POSTERIORE,69.8
,61218106,AGG. ARTICOL. DI ADDUZIONE-ABDUZIONE,42.89
,61218109,AGG. ARTICOLAZIONE TIBIO TARSICA,51
,61218112,AGG. ASTA DI DIVARICAZIONE,30.01
,61218115,AGG. ARTICOLAZIONE PER GINOCCHIO,61.08
,61218118,AGG. SETTORE O TENDITORE,47.96
,61218121,AGG. CONTENITORE IMBOT. PER GINOCCHIO,43.85
,61218124,AGG. ALETTA O BARRA POSIZIONATRICE,15.19
,61218127,AGG. RIVESTIMENTO DOCCIA PER CAVIGLIA,28.71
,61218130,AGG. RIVESTIMENTO DOCCIA PER GINOCCHI,38.23
,61218133,AGG. RIVESTIMENTO DOCCIA PER PELVIFEM,56.52
,61218136,AGG. RIVEST. DOCCIA PER PELVIPODALICA,56.52
,61218163,AGG. ARTICOLAZIONE COXOFEMORALE,96.54
,61218166,AGG. CONTENTORE PER GINOCCHIO,43.85
,61218175,AGG. TRAZIONE ELASTICA AL PIEDE,17.17
,61218178,AGG. ARTICOLAZIONE AL GINOCCHIO,,134.43
,61218193,AGG. ARTICOLAZIONE MALLEOLARE,28.37
,61218196,AGG. ARTICOLAZIONE MALLEOLARE,56.41
,61218199,AGG. ARTICOLAZIONE MALLEOLARE,109.77
,61218202,AGG. ARTICOLAZIONE MALLEOLARE,130.82
